847	0.999399	0	40974	215	60189	268	47429	239	60981	271	43030	240	57446	278
1038	0.1405	        0.004	5765	116	7870	141	6260	114	7965	137	7479	139	7646	145
1238	0.6646	        0.0012	29086	193	38869	216	30058	186	36266	206	38873	222	38275	222
1360	0.04283	        0.00012	1811	66	2354	78	1873	65	2092	71	2405	80	2219	77
1771	0.1541	        0.0006	5869	85	7874	97	5944	86	6751	91	7802	98	7343	96
2015	0.03016	        0.00012	1040	43	1337	51	1042	45	1154	47	1318	53	1311	52
2034	0.0777	        0.0003	2727	63	3376	67	2612	60	3060	65	3482	70	3359	70
2598	0.1697	        0.0004	5511	80	6451	84	5026	75	5603	78	6392	88	6220	84
3253	0.07923	        0.00021	2033	48	2530	52	1952	45	2123	48	2348	54	2493	51
3273	0.018759	0.00002	462	24	554	26	453	23	453	24	551	26	559	26
