847	0.999399	0	148812	429	211619	494	167124	451	211404	496	147281	442	210527	548
1038	0.1405	0.004	21465	219	28763	230	22562	218	27417	227	26397	272	25731	308
1238	0.6646	0.0012	105466	355	135439	394	105112	347	125422	378	133503	414	139180	441
1360	0.04283	0.00012	6555	127	8000	127	6510	116	7488	121	7673	140	7666	162
1771	0.1541	0.0006	21366	159	25634	172	20844	158	22968	164	27364	184	28013	189
2015	0.03016	0.00012	3985	89	4694	87	3648	84	4159	89	4662	105	4920	113
2034	0.0777	0.0003	9954	115	11958	125	9229	111	10665	120	12097	134	12271	143
2598	0.1697	0.0004	18721	145	22429	156	17119	138	19612	146	21327	164	22374	160
3253	0.07923	0.00021	7627	90	8747	95	6538	83	7519	89	8559	96	8465	96
3273	0.018759	0.00002	1748	45	2039	48	1507	41	1746	44	1882	49	1828	48
